studlab,TE,seTE,dblind,density,treat1,treat2,n1,n2,notes
boggio2009,0.132946079,0.324842456,1,0.057142857,2,1,19,19,n
javadi2012,0.698057267,0.365626712,0,0.083333333,3,1,16,16,n
javadi2012,-0.631818256,0.363473833,0,0.083333333,14,1,16,16,n
javadi2012,-0.163049872,0.354222701,0,0.083333333,1,4,16,16,n
jones2014exp1,0.034221114,0.31625344,0,0.042857143,5,1,20,20,n
jones2014exp3,-0.060250992,0.316307343,0,0.042857143,6,1,20,20,n
nikolin2015,0.032766215,0.237743297,0,2.564102564,1,12,16,16,n
nikolin2015,-0.021844143,0.238103669,0,2.564102564,1,3,16,16,n
nikolin2015,-0.054610359,0.237492281,0,2.564102564,1,13,16,16,n
sandrini2016,0.981887326,0.403599464,1,0.042857143,3,1,14,14,n
manuel2016,-0.368183026,0.342516941,0,0.028571429,5,1,13,26,n
manuel2016,-0.432214857,0.343582243,0,0.028571429,6,1,13,26,n
manuel2016,-0.496246688,0.344813871,0,0.028571429,1,3,26,13,n
manuel2016,0.240119365,0.340891305,0,0.028571429,1,7,26,13,n
delara2017,-0.047675424,0.244310243,1,0.333333333,8,1,15,15,n
diez2017,0.148131978,0.301965178,0,0.057142857,9,1,22,22,n
medvedeva2018exp1f7,1.248765167,0.378926672,0,0.057142857,10,1,17,17,n
medvedeva2018exp3f7,1.346476259,0.410022453,0,0.057142857,10,1,15,15,n
medvedeva2018exp3p3,-0.033884841,0.365178536,0,0.057142857,5,1,15,15,n
medvedeva2018exp4f7,1.002905026,0.457891649,0,0.057142857,10,1,11,11,n
meier2018,0.118949324,0.337341163,0,0.088888889,3,1,16,16,n
meier2018,-0.097001385,0.342111651,0,0.088888889,14,1,16,16,n
leach2016,-0.991541868,0.601898312,1,0.057142857,11,1,7,7,n
habich2017,0.59170299,0.312338469,1,0.028571429,1,3,21,22,n
riveraurbina2018,1.220269208,0.40237186,1,0.042857143,15,1,15,15,n
leach2018,0.418799989,0.217172839,1,0.136363636,3,1,48,48,n
matzen2015,0.765044692,0.425740808,1,0.181818182,11,1,12,12,n
perceval2017,-0.127996707,0.283156928,1,0.203821656,13,1,25,25,n
gaynorchua2018,-0.158029241,0.289165582,0,0.057142857,1,3,24,24,n
gaynorchua2018,0.210705655,0.289546466,0,0.057142857,1,14,24,24,n
brunye2018,-0.694709777,0.291957281,0,,3,1,25,25,currentdensitypersqcmorelectrodesizenotreported
leshikar2017,0.489635361,0.316638185,1,0.136363636,3,1,21,21,n
