studlab,TE,seTE,treat1,treat2,n1,n2
boggio2009,0.132946079,0.324842456,2,1,19,19
javadi2012,0.698057267,0.365626712,3,1,16,16
javadi2012,0.861107139,0.371769897,3,4,16,16
javadi2012,0.163049872,0.354222701,1,4,16,16
jones2014exp1,0.034221114,0.31625344,5,1,20,20
jones2014exp3,-0.060250992,0.316307343,6,1,20,20
nikolin2015,-0.032766215,0.237743297,1,12,16,16
nikolin2015,0.021844143,0.238103669,1,3,16,16
nikolin2015,0.054610359,0.237492281,1,13,16,16
nikolin2015,0.054610359,0.23755506,12,3,16,16
nikolin2015,0.087376574,0.238291473,12,13,16,16
nikolin2015,0.032766215,0.238307116,3,13,16,16
sandrini2016,0.981887326,0.403599464,3,1,14,14
manuel2016,0.063301643,0.39234803,5,6,13,13
manuel2016,-0.368183026,0.342516941,5,1,13,26
manuel2016,0.126603286,0.392695104,5,3,13,13
manuel2016,-0.60136561,0.40254553,5,7,13,13
manuel2016,-0.432214857,0.343582243,6,1,13,26
manuel2016,0.063301643,0.39234803,6,3,13,13
manuel2016,-0.664667253,0.404795452,6,7,13,13
manuel2016,0.496246688,0.344813871,1,3,26,13
manuel2016,-0.240119365,0.340891305,1,7,26,13
manuel2016,-0.727968896,0.40725601,3,7,13,13
delara2017,-0.047675424,0.244310243,8,1,15,15
diez2017,0.148131978,0.301965178,9,1,22,22
medvedeva2018exp1f7,1.248765167,0.378926672,10,1,17,17
medvedeva2018exp3f7,1.346476259,0.410022453,10,1,15,15
medvedeva2018exp3p3,-0.033884841,0.365178536,5,1,15,15
medvedeva2018exp4f7,1.002905026,0.457891649,10,1,11,11
meier2018,0.215950709,0.342799148,3,14,16,16
meier2018,0.118949324,0.337341163,3,1,16,16
meier2018,-0.097001385,0.342111651,14,1,16,16
leach2016,-0.991541868,0.601898312,11,1,7,7
habich2017,-0.59170299,0.312338469,1,3,21,22
riveraurbina2018,1.220269208,0.40237186,15,1,15,15
leach2018,0.418799989,0.217172839,3,1,48,48
matzen2015,0.765044692,0.425740808,11,1,12,12
perceval2017,-0.127996707,0.283156928,13,1,25,25
gaynorchua2018,0.158029241,0.289165582,1,3,24,24
gaynorchua2018,-0.210705655,0.289546466,1,14,24,24
gaynorchua2018,-0.368734896,0.291335358,3,14,24,24
jacobson2012,1.180953019,0.448808012,5,16,12,12
brunye2018,-0.694709777,0.291957281,3,1,25,25
leshikar2017,0.489635361,0.316638185,3,1,21,21
